frame,id1,id2,id3,id4,id5,id6,id7,id8,id9,id10,id11,id12,id13,id14,id15,id16,id17,id18,id19,id20,id22,id24,id26,id31,id34,id37,id38,id39,id45,id48,id49,id50,id51,id52,id53,id54,id55,id57,id59,id60,id61,id62,id65,id68,id69,id71,id72,id73,id74,id75
39,"(264.58, 352.69)",,"(255.15, 147.98)","(427.60, 443.99)","(136.16, 42.81)","(289.57, 270.57)","(511.72, 369.27)","(409.58, 60.91)","(269.35, 39.51)","(474.20, 9.34)","(138.76, 255.77)","(506.36, 452.09)","(357.54, 8.15)","(527.90, 427.25)","(506.33, 366.61)","(477.84, 12.36)",,"(261.94, 68.07)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"(264.54, 352.69)",,"(255.43, 146.61)","(427.60, 444.00)","(135.67, 42.95)","(289.58, 270.57)","(511.61, 369.10)","(410.06, 61.78)","(270.38, 38.94)","(474.22, 9.35)","(139.10, 253.91)","(506.35, 452.09)","(357.59, 8.21)","(527.87, 427.24)","(506.22, 366.50)","(477.85, 12.36)",,"(262.99, 66.45)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"(264.53, 352.86)",,"(255.42, 145.27)","(427.60, 444.00)","(135.48, 42.94)","(289.57, 270.56)","(512.40, 369.28)","(410.73, 62.41)","(271.86, 38.13)","(474.21, 9.32)","(139.06, 252.43)","(506.36, 452.10)","(357.57, 8.21)","(527.87, 427.24)","(506.33, 366.55)","(477.86, 12.38)",,"(263.99, 64.97)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"(264.41, 353.27)","(40.62, 87.91)","(255.57, 143.81)","(427.59, 443.99)","(135.04, 43.02)","(289.55, 270.56)","(512.44, 369.26)","(411.59, 63.41)","(272.96, 37.35)","(474.24, 9.34)","(139.09, 251.31)","(506.35, 452.10)","(357.61, 8.19)","(527.86, 427.24)","(506.32, 366.53)","(477.91, 12.36)",,"(265.02, 63.79)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"(264.42, 353.30)","(40.56, 86.55)","(255.74, 142.90)","(427.61, 443.98)","(134.95, 43.05)","(289.55, 270.55)","(512.30, 369.23)","(411.88, 63.92)","(273.83, 36.81)","(474.25, 9.38)","(139.71, 249.30)","(506.36, 452.09)","(357.64, 8.16)","(527.86, 427.25)","(506.27, 366.67)","(477.90, 12.32)",,"(265.60, 62.13)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"(264.41, 353.48)",,"(255.95, 141.41)","(427.60, 444.01)","(134.78, 43.36)","(289.55, 270.63)","(512.53, 369.19)","(412.49, 64.55)","(275.76, 36.91)","(474.18, 9.21)","(140.08, 247.53)","(506.36, 452.11)","(357.57, 8.04)","(527.88, 427.28)","(506.36, 366.50)","(477.80, 12.34)",,"(265.39, 60.83)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"(264.55, 353.69)",,"(255.49, 140.32)","(427.57, 444.02)",,"(289.56, 270.67)","(512.36, 369.07)","(413.05, 64.81)","(278.11, 37.07)","(474.12, 9.10)",,"(506.33, 452.13)","(357.52, 7.99)","(527.86, 427.30)","(506.25, 366.47)",,,"(264.96, 59.33)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"(264.50, 353.69)",,,"(427.57, 444.01)",,"(289.63, 270.66)","(512.35, 368.97)","(413.39, 65.05)",,"(474.07, 9.08)",,"(506.33, 452.21)","(357.73, 8.37)","(527.88, 427.29)","(506.28, 366.37)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"(264.45, 353.72)",,,"(427.56, 444.05)",,"(289.65, 270.68)","(512.15, 368.99)",,,"(474.22, 9.50)",,"(506.37, 452.26)",,"(527.94, 427.31)","(506.36, 366.47)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"(264.49, 353.74)",,,"(427.58, 444.17)",,"(289.76, 270.76)","(512.23, 369.07)",,,,"(140.19, 241.02)","(506.31, 452.32)",,"(527.95, 427.40)","(506.42, 366.53)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
