confidence,min_matching,brownian_pos_noise,lost_track_buffer,asso_func,vial_count_error,per_id_coverage_loss,short_track_count,per_frame_id_variance
0.1,0.05,20.0,180,giou,9.0,204.95833333333331,4,15.23163333705725
0.1,0.05,20.0,240,diou,5.0,191.11627906976744,1,15.260399284905866
0.1,0.05,20.0,240,giou,9.0,204.95833333333331,4,15.23163333705725
0.1,0.1,1.0,30,diou,5.0,197.11111111111111,4,15.246623780101295
0.1,0.1,1.0,30,giou,14.0,218.51851851851853,6,15.146614337845072
0.1,0.1,1.0,60,diou,4.0,194.25,2,15.249479718371255
0.1,0.1,1.0,60,giou,12.0,214.51923076923077,4,15.147510491781533
0.1,0.1,1.0,90,diou,4.0,194.25,2,15.249479718371255
0.1,0.1,1.0,90,giou,12.0,214.51923076923077,4,15.147510491781533
0.1,0.1,1.0,120,diou,4.0,194.25,2,15.249479718371255
0.1,0.1,1.0,120,giou,12.0,214.51923076923077,4,15.147510491781533
0.1,0.1,1.0,180,diou,4.0,194.25,2,15.249479718371255
0.1,0.1,1.0,180,giou,13.0,216.60377358490567,5,15.156407582054252
0.1,0.1,1.0,240,diou,4.0,194.25,2,15.249479718371255
0.1,0.1,1.0,240,giou,13.0,216.60377358490567,5,15.156407582054252
0.1,0.1,3.0,30,diou,5.0,197.06666666666666,3,15.244535988641868
0.1,0.1,3.0,30,giou,14.0,218.51851851851853,7,15.145489177763741
0.1,0.1,3.0,60,diou,4.0,194.20454545454544,2,15.247391926911828
0.1,0.1,3.0,60,giou,12.0,214.48076923076923,4,15.145490352315162
0.1,0.1,3.0,90,diou,4.0,194.20454545454544,2,15.247391926911828
0.1,0.1,3.0,90,giou,12.0,214.51923076923077,4,15.149969290473384
0.1,0.1,3.0,120,diou,4.0,194.20454545454544,2,15.247391926911828
0.1,0.1,3.0,120,giou,12.0,214.51923076923077,4,15.149969290473384
0.1,0.1,3.0,180,diou,4.0,194.20454545454544,2,15.247391926911828
0.1,0.1,3.0,180,giou,13.0,216.56603773584905,5,15.154425068808955
